SBW_STATN_ID,SBW_STATN_NM,SBW_STATN_NCNAM,SBW_STATN_XCRD,SBW_STATN_YCRD,NEXT_STATN_ID1,NEXT_STATN_NM1,NEXT_STATN_ID2,NEXT_STATN_NM2,BFR_STATN_ID1,BFR_STATN_NM1,BFR_STATN_ID2,BFR_STATN_NM2,TRSF_STATN_ID1,TRSF_ROUTE_ID1,TRSF_STATN_ID2,TRSF_ROUTE_ID2,TRSF_STATN_ID3,TRSF_ROUTE_ID3,ROUTE_NO,SBW_STATN_TRSF_STATN_INFO,SBW_STATN_FOM_INFO,SBW_STATN_PTF_INFO,SBW_STATN_TLROM_INFO,SBW_STATN_CRSG_INFO,SBW_STATN_MTPL_INFO,SBW_STATN_SPT_PBSC_INFO,BIKE_CSTD_CNT,SBW_STATN_ADDR,SBW_STATN_TLNO,SBW_STATN_GFD_INFO,CITY_CD,ROAD_NM_ADDR,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
70918,박물관,,479549,293800,70919,연지공원,0,,70917,수로왕릉,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 내동 1037-1,055-310-9618,1,7000,경상남도 김해시 김해대로 2103,1010,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70919,연지공원,,479305,294856,70920,장신대,0,,70918,박물관,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 구산동 1072-8,055-310-9619,1,7000,경상남도 김해시 해반천로 5,1011,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70920,장신대,화정,479107,295956,70921,가야대,0,,70919,연지공원,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 삼계동 1520-2,055-310-9620,1,7000,경상남도 김해시 해반천로 129,1012,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
70921,가야대,감계,478898,296757,0,,0,,70920,장신대,0,,0,0,0,0,0,0,79,1,3,2,2,2,0,0,0,경상남도 김해시 삼계동 1519-7,055-310-9621,1,7000,경상남도 김해시 해반천로 211,1013,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
100,소요산,,317670,594406,101,동두천,0,,0,,0,,0,0,0,0,0,0,1,1,2,4,2,1,0,0,0,경기도 동두천시 상봉암동 126-3,1544-7788,1,1000,경기도 동두천시 평화로 2925,0,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
101,동두천,,317103,592076,102,보산,0,,100,소요산,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 동두천시 동두천동 245-210,1544-7788,0,1000,경기도 동두천시 평화로 2687,1,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
102,보산,,317291,590598,103,동두천중앙,0,,101,동두천,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 동두천시 보산동 422,1544-7788,0,1000,경기도 동두천시 평화로 2539,2,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
103,동두천중앙,한북대,317213,589201,104,지행,0,,102,보산,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 동두천시 생연동 726-3,1544-7788,0,1000,경기도 동두천시 동두천로 228,3,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
104,지행,,317144,588168,105,덕정,0,,103,동두천중앙,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 동두천시 지행동 424-1,1544-7788,0,1000,경기도 동두천시 평화로 2285,4,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
105,덕정,서정대학,317597,582708,106,덕계,0,,104,지행,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 양주시 덕정동 350-14,1544-7788,0,1000,경기도 양주시 화합로 1356,5,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
106,덕계,,317144,579999,107,양주,0,,105,덕정,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 양주시 덕계동 267-1,1544-7788,0,1000,경기도 양주시 고덕로 139번길 317,6,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
107,양주,,316041,575073,108,녹양,0,,106,덕계,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 양주시 남방동 94-1,1544-7788,0,1000,경기도 양주시 평화로 919,7,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
108,녹양,,315808,573425,110,가능,0,,107,양주,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 의정부시 녹양동 96-1,1544-7788,0,1000,경기도 의정부시 평화로 757,8,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
110,가능,,315970,572196,111,의정부,0,,108,녹양,0,,0,0,0,0,0,0,1,1,3,2,2,2,0,0,0,경기도 의정부시 가능동 197-1,1544-7788,0,1000,경기도 의정부시 평화로 633,9,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
111,의정부,,316113,571092,112,회룡,0,,110,가능,0,,0,0,0,0,0,0,1,1,3,3,2,2,0,0,0,경기도 의정부시 의정부동 168-54,1544-7788,2,1000,경기도 의정부시 평화로 525,10,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
112,회룡,,316213,569494,113,망월사,0,,111,의정부,0,,11002,110,0,0,0,0,1,2,3,2,2,2,0,0,0,경기도 의정부시 호원동 50-5,1544-7788,0,1000,경기도 의정부시 평화로 363,11,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
113,망월사,신흥대학,316201,567991,114,도봉산,0,,112,회룡,0,,0,0,0,0,0,0,1,1,3,2,1,2,0,0,0,경기도 의정부시 호원동 50-5,1544-7788,0,1000,경기도 의정부시 평화로 221,12,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
114,도봉산,,316062,565672,115,도봉,0,,113,망월사,0,,710,7,0,0,0,0,1,2,3,2,2,2,0,0,252,서울특별시 도봉구 도봉동 18-1,1544-7788,0,1000,서울특별시 도봉구 도봉로 964-33,13,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
115,도봉,,316004,564546,116,방학,0,,114,도봉산,0,,0,0,0,0,0,0,1,1,3,2,1,2,0,0,104,서울특별시 도봉구 도봉동 639,1544-7788,0,1000,서울특별시 도봉구 도봉로 170길 2,14,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
116,방학,도봉구청,315882,563219,117,창동,0,,115,도봉,0,,0,0,0,0,0,0,1,1,3,2,1,2,0,0,60,서울특별시 도봉구 방학동 728,1544-7788,0,1000,서울특별시 도봉구 도봉로 150다길 3,15,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
117,창동,,316148,561691,118,녹천,0,,116,방학,0,,412,4,0,0,0,0,1,2,2,3,1,2,0,0,0,서울특별시 도봉구 창동 135-1,1544-7788,0,1000,서울특별시 도봉구 마들로 11길 77,16,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
118,녹천,,316484,560674,119,월계,0,,117,창동,0,,0,0,0,0,0,0,1,1,3,2,1,2,0,0,30,서울특별시 도봉구 창동 57-11,1544-7788,0,1000,서울특별시 도봉구 덕릉로 376,17,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
119,월계,인덕대학,317127,559393,120,광운대,0,,118,녹천,0,,0,0,0,0,0,0,1,1,3,2,1,2,0,0,0,서울특별시 노원구 월계동 263-1,1544-7788,0,1000,서울특별시 노원구 월계로 53길 40,18,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
120,광운대,광운대앞,317366,558360,121,석계,0,,119,월계,0,,0,0,0,0,0,0,1,1,2,3,2,2,0,0,178,서울특별시 노원구 월계동 85,1544-7788,2,1000,서울특별시 노원구 석계로 98-2,19,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
121,석계,,317704,557399,122,신이문,0,,120,광운대,0,,644,6,0,0,0,0,1,2,3,1,1,2,0,0,69,서울특별시 노원구 월계동 36-4,1544-7788,1,1000,서울특별시 노원구 화랑로 341,20,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
122,신이문,한국예술종합학교,317844,555913,123,외대앞,0,,121,석계,0,,0,0,0,0,0,0,1,1,3,2,4,2,0,0,21,서울특별시 동대문구 이문동 7,1544-7788,0,1000,서울특별시 동대문구 한천로 472,21,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
123,외대앞,,317504,555287,124,회기,0,,122,신이문,0,,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,서울특별시 동대문구 이문동 360-5,1544-7788,2,1000,서울특별시 동대문구 휘경로 27,22,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
124,회기,경희대앞,316999,554587,125,청량리,0,,123,외대앞,0,,1317,104,1807,108,0,0,1,2,2,1,2,2,0,0,65,서울특별시 동대문구 휘경동 317-101,1544-7788,1,1000,서울특별시 동대문구 회기로 196,23,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
125,청량리,서울시립대입구,315823,553512,126,제기동,0,,124,회기,0,,191,104,1806,108,1509,100,1,2,1,1,2,2,0,0,0,서울특별시 동대문구 전농동 620-69,02-6110-1241,1,1000,서울특별시 동대문구 왕산로 205,24,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
126,제기동,,314949,553343,127,신설동,0,,125,청량리,0,,0,0,0,0,0,0,1,1,1,2,2,2,0,0,89,서울특별시 동대문구 제기동 65,02-6110-1251,0,1000,서울특별시 동대문구 왕산로 93,25,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
127,신설동,,314020,553089,199,동묘앞,0,,126,제기동,0,,253,2,11333,113,0,0,1,2,1,2,2,2,0,0,100,서울특별시 동대문구 신설동 76-5,02-6110-1261,0,1000,서울특별시 동대문구 왕산로 1,26,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
128,동대문,,312838,552626,129,종로5가,0,,199,동묘앞,0,,421,4,0,0,0,0,1,2,1,2,2,2,0,0,0,서울특별시 종로구 창신동 492-1,02-6110-1281,0,1000,서울특별시 종로구 종로 302,27,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
129,종로5가,,312030,552550,130,종로3가,0,,128,동대문,0,,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,서울특별시 종로구 종로5가 82-1,02-6110-1291,0,1000,서울특별시 종로구 종로 216,28,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
130,종로3가,,311168,552496,131,종각,0,,129,종로5가,0,,534,5,329,3,0,0,1,2,1,2,2,2,0,0,0,서울특별시 종로구 종로3가 10-5,02-6110-1301,0,1000,서울특별시 종로구 종로 129,29,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
131,종각,SC제일은행,310367,552477,132,시청,0,,130,종로3가,0,,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,서울특별시 종로구 종로1가 54,02-6110-1311,0,1000,서울특별시 종로구 종로 55,30,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
132,시청,,309833,551958,133,서울역,0,,131,종각,0,,201,2,0,0,0,0,1,2,1,2,2,2,0,0,0,서울특별시 중구 정동 5-5,02-6110-1321,0,1000,서울특별시 중구 세종대로 101,31,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
133,서울역,,309393,550897,134,남영,0,,132,시청,0,,426,4,4001,101,1610,104,1,2,1,1,2,2,0,0,0,서울특별시 중구 남대문로5가 73-6,02-6110-1331,1,1000,서울특별시 중구 세종대로 2,32,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
134,남영,,309277,549206,135,용산,0,,133,서울역,0,,0,0,0,0,0,0,1,1,2,1,1,2,0,0,35,서울특별시 용산구 갈월동 96-1,1544-7788,1,1000,서울특별시 용산구 한강대로 77길 25,33,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
135,용산,,308667,547997,136,노량진,0,,134,남영,0,,1318,104,0,0,0,0,1,2,2,3,2,2,0,0,21,서울특별시 용산구 한강로3가 40-999,1544-7788,0,1000,서울특별시 용산구 한강대로 23길 55,34,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
136,노량진,,306637,546291,137,대방,0,,135,용산,0,,917,9,0,0,0,0,1,2,2,3,2,2,0,0,0,서울특별시 동작구 노량진동 67-2,1544-7788,0,1000,서울특별시 동작구 노량진로 151,35,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
137,대방,,305287,546231,138,신길,0,,136,노량진,0,,0,0,0,0,0,0,1,1,2,3,1,2,0,0,0,서울특별시 영등포구 신길동 1368-3,1544-7788,0,1000,서울특별시 영등포구 여의대방로 300,36,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
138,신길,,304525,546642,139,영등포,0,,137,대방,0,,525,5,0,0,0,0,1,2,2,3,2,2,0,0,0,서울특별시 영등포구 신길동 42-7,1544-7788,0,1000,서울특별시 영등포구 영등포로 327,37,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
139,영등포,,303610,546513,140,신도림,0,,138,신길,0,,0,0,0,0,0,0,1,1,2,3,4,2,0,0,0,서울특별시 영등포구 영등포동 618-496,1544-7788,0,1000,서울특별시 영등포구 경인로 102길 13,38,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
140,신도림,,302202,545779,141,구로,0,,139,영등포,0,,234,2,0,0,0,0,1,2,2,3,1,2,0,0,0,서울특별시 구로구 신도림동 460-26,1544-7788,2,1000,서울특별시 구로구 새말로 117-21,39,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
141,구로,,301370,545113,142,구일,172,가산디지털단지,140,신도림,0,,0,0,0,0,0,0,1,2,2,3,1,2,0,0,86,서울특별시 구로구 구로동 585-3,1544-7788,2,1000,서울특별시 구로구 구로중앙로 174,40,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
142,구일,,300242,544390,143,개봉,0,,141,구로,0,,0,0,0,0,0,0,1,1,3,3,1,2,0,0,0,서울특별시 구로구 구로동 636-46,1544-7788,2,1000,서울특별시 구로구 구일로 133,41,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
143,개봉,서울한영대,299258,544227,144,오류동,0,,142,구일,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,112,서울특별시 구로구 개봉동 415,1544-7788,2,1000,서울특별시 구로구 경인로 40길 47,42,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
144,오류동,,298024,544209,145,온수,0,,143,개봉,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,84,서울특별시 구로구 오류동 66,1544-7788,1,1000,서울특별시 구로구 경인로 20길 13,43,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
145,온수,성공회대입구,296185,544007,146,역곡,0,,144,오류동,0,,750,7,0,0,0,0,1,2,2,2,2,2,0,0,0,서울특별시 구로구 온수동 51-7,1544-7788,1,1000,서울특별시 구로구 부일로 872,44,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
146,역곡,,295091,543216,147,소사,0,,145,온수,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 부천시 역곡동 382,1544-7788,1,1000,경기도 부천시 역곡로 1,45,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
147,소사,,293704,542971,148,부천,0,,146,역곡,0,,11421,114,0,0,0,0,1,2,2,2,2,2,0,0,0,경기도 부천시 소사본1동 51,1544-7788,1,1000,경기도 부천시 경인로 363,46,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
148,부천,부천대입구,292548,543132,149,중동,0,,147,소사,0,,0,0,0,0,0,0,1,1,2,2,2,2,1,0,0,경기도 부천시 심곡동 316-2,1544-7788,1,1000,경기도 부천시 부천로 1,47,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
149,중동,,290932,543440,150,송내,0,,148,부천,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 부천시 송내동 632,1544-7788,1,1000,경기도 부천시 중동로 73,48,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
150,송내,,289922,543560,151,부개,0,,149,중동,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 부천시 송내동 632-4,1544-7788,1,1000,경기도 부천시 송내대로 43,49,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
151,부개,,288819,543670,152,부평,0,,150,송내,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 부평구 부개동 468,1544-7788,1,1000,인천광역시 부평구 수변로 22,50,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
152,부평,가톨릭대학교 인천성모병원,287408,543797,153,백운,0,,151,부개,0,,20120,21,0,0,0,0,1,2,2,2,2,2,0,0,0,인천광역시 부평구 부평동 738-21,1544-7788,1,1000,인천광역시 부평구 광장로 16,51,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
153,백운,,285859,543135,154,동암,0,,152,부평,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 부평구 십정동 541-1,1544-7788,1,1000,인천광역시 부평구 마장로 55번길 14,52,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
154,동암,,285461,541761,155,간석,0,,153,백운,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 부평구 십정동 541,1544-7788,1,1000,인천광역시 부평구 동암광장로 10,53,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
155,간석,,284613,541086,156,주안,0,,154,동암,0,,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,인천광역시 남동구 간석동 757,1544-7788,1,1000,인천광역시 남동구 석정로 522-14,54,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
156,주안,인하대학교,283436,541142,157,도화,0,,155,간석,0,,20227,22,0,0,0,0,1,2,2,2,1,2,1,0,0,인천광역시 미추홀구 주안동 125,1544-7788,1,1000,인천광역시 미추홀구 주안로 95-19,55,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
157,도화,,282434,541274,158,제물포,0,,156,주안,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 미추홀구 도화동 668,1544-7788,1,1000,인천광역시 미추홀구 숙골로 24번길 9,56,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
158,제물포,,281410,541367,159,도원,0,,157,도화,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 미추홀구 숭의동 450-39,1544-7788,1,1000,인천광역시 미추홀구 경인로 129,57,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
159,도원,,280144,541584,160,동인천,0,,158,제물포,0,,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,인천광역시 동구 창영동 179-1,1544-7788,1,1000,인천광역시 동구 참외전로 245,58,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
160,동인천,,279251,542353,161,인천,0,,159,도원,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,인천광역시 중구 인현동 1-613,1544-7788,1,1000,인천광역시 중구 참외전로 121,59,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
161,인천,,277867,542479,0,,0,,160,동인천,0,,11134,111,0,0,0,0,1,2,2,1,2,2,0,0,0,인천광역시 중구 북성동1가 3-1,1544-7788,1,1000,인천광역시 중구 제물량로 269,60,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
172,가산디지털단지,,301375,542729,173,독산,0,,141,구로,0,,746,7,0,0,0,0,1,2,2,2,2,2,0,0,120,서울특별시 금천구 가산동 468-4,1544-7788,0,1000,서울특별시 금천구 벚꽃로 309,61,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
173,독산,하안동입구,301948,541031,174,금천구청,0,,172,가산디지털단지,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,서울특별시 금천구 가산동 717,1544-7788,0,1000,서울특별시 금천구 벚꽃로 115,62,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
174,금천구청,,302347,539855,175,석수,1175,광명,173,독산,0,,0,0,0,0,0,0,1,2,2,2,2,2,0,0,120,서울특별시 금천구 시흥동 113-77,1544-7788,1,1000,서울특별시 금천구 시흥대로 63길 91,63,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
175,석수,,303048,537573,176,관악,0,,174,금천구청,0,,0,0,0,0,0,0,1,1,2,2,4,2,0,0,0,경기도 안양시 만안구 석수동 737,1544-7788,1,1000,경기도 안양시 만안구 경수대로 1431,64,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
176,관악,안양예술공원,303581,535838,177,안양,0,,175,석수,0,,0,0,0,0,0,0,1,1,2,2,4,2,0,0,0,경기도 안양시 만안구 석수동 110-21,1544-7788,1,1000,경기도 안양시 만안구 경수대로 1273번길 46,65,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
177,안양,,304813,533865,178,명학,0,,176,관악,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 안양시 만안구 안양동 88-1,1544-7788,1,1000,경기도 안양시 만안구 만안로 232,66,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
178,명학,성결대앞,305936,531910,179,금정,0,,177,안양,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 안양시 만안구 안양동 1163-1,1544-7788,1,1000,경기도 안양시 만안구 만안로 20,67,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
179,금정,,306614,530546,180,군포,0,,178,명학,0,,443,4,0,0,0,0,1,2,2,2,1,2,0,0,0,경기도 군포시 금정동 613,1544-7788,0,1000,경기도 군포시 군포로 750,68,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
180,군포,,307044,528490,1181,당정,0,,179,금정,0,,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,경기도 군포시 당동 134-1,1544-7788,1,1000,경기도 군포시 군포역1길 27,69,I,2.01911E+13,2.01912E+13,2.01912E+13,S,ptp_tx_191210144700004000
